frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:04:57 +0000] "GET /api/thumbnails/face_acc4d2b8-6cf3-47bf-83ec-ee249ab643e4.jpg HTTP/1.1" 200 2620 "https://ai.obtv.io/library/f79ee055-1742-4870-a4b6-d8ed14fb846b" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:51498 - "GET /api/thumbnails/face_f392f642-2804-4df3-9dfa-6a652774cd57.jpg HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:04:57 +0000] "GET /api/thumbnails/face_f392f642-2804-4df3-9dfa-6a652774cd57.jpg HTTP/1.1" 200 12899 "https://ai.obtv.io/library/f79ee055-1742-4870-a4b6-d8ed14fb846b" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:51504 - "GET /api/thumbnails/face_de03e0ff-9833-42c8-861d-e17edb0fa8e0.jpg HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:04:57 +0000] "GET /api/thumbnails/face_de03e0ff-9833-42c8-861d-e17edb0fa8e0.jpg HTTP/1.1" 200 3460 "https://ai.obtv.io/library/f79ee055-1742-4870-a4b6-d8ed14fb846b" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:04:57 +0000] "GET /api/media/f79ee055-1742-4870-a4b6-d8ed14fb846b/stream HTTP/1.1" 206 9819592 "https://ai.obtv.io/library/f79ee055-1742-4870-a4b6-d8ed14fb846b" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
worker-cpu-1       | [2026-08-25 23:04:58,805: INFO/ForkPoolWorker-5] Task tasks.qc.run_qc[a77a62f7-2109-485a-a34e-e69b66179abf] succeeded in 15.101363388006575s: None
worker-cpu-1       | [2026-08-25 23:04:58,922: INFO/MainProcess] Task tasks.ingest.run_ingest_pipeline[6755718e-8b77-4df4-850a-c8582c6f764f] received
api-1              | INFO:     172.18.0.12:51506 - "GET /api/jobs?media_id=f79ee055-1742-4870-a4b6-d8ed14fb846b HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:04:59 +0000] "GET /api/jobs?media_id=f79ee055-1742-4870-a4b6-d8ed14fb846b HTTP/1.1" 200 15486 "https://ai.obtv.io/library/f79ee055-1742-4870-a4b6-d8ed14fb846b" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
worker-cpu-1       | [2026-08-25 23:05:00,097: INFO/ForkPoolWorker-5] Task tasks.ingest.run_ingest_pipeline[6755718e-8b77-4df4-850a-c8582c6f764f] succeeded in 1.1737666829722002s: None
worker-cpu-1       | [2026-08-25 23:05:00,226: INFO/MainProcess] Task tasks.scene_detect.detect_scenes[28ed4b80-595c-4c9e-848f-b6997da6c8a2] received
worker-cpu-1       | [2026-08-25 23:05:00,260: INFO/ForkPoolWorker-5] Detecting scenes...
