obtv-admin@obtv-llm-2:~/obtv-ai$ docker compose logs --tail=100 watcher
watcher-1  | 2026-08-20 22:36:13,930 INFO Ingest queued: 3086c864-e990-4625-a16b-012380787569
watcher-1  | 2026-08-20 22:36:13,930 INFO Ingesting: /media2/Abraham Accords/SPL_20210922_Cam02_PDDD1364-002-proxy.mp4
watcher-1  | 2026-08-20 22:36:13,982 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:13,982 INFO Ingest queued: 726718d8-60a2-494f-a40a-19e6a903d41b
watcher-1  | 2026-08-20 22:36:13,983 INFO Ingesting: /media2/Abraham Accords/SPL_20210505_Cam05_P1077881-proxy.mp4
watcher-1  | 2026-08-20 22:36:14,045 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:14,045 INFO Ingest queued: 7d29061c-e767-4b68-b284-19fb3ab5a284
watcher-1  | 2026-08-20 22:36:14,045 INFO Ingesting: /media2/Abraham Accords/SPL_20210613_Cam04_P0044963-proxy.mp4
watcher-1  | 2026-08-20 22:36:14,106 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:14,107 INFO Ingest queued: 2dc675d3-5c2b-468c-a055-d9de23582fb4
watcher-1  | 2026-08-20 22:36:14,107 INFO Ingesting: /media2/Abraham Accords/SPL_20210606_Cam04_Encoder 4 10-59-31-017-proxy.mp4
watcher-1  | 2026-08-20 22:36:14,169 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:14,170 INFO Ingest queued: 7a3b12f3-cd9d-4ecf-80ae-bb4987dfe923
watcher-1  | 2026-08-20 22:36:14,170 INFO Ingesting: /media2/BT/BT_20260407_PLEX_PGM_EP1544_CONVO 4-proxy.mp4
watcher-1  | 2026-08-20 22:36:14,268 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:14,269 INFO Ingest queued: f586b1a0-0549-4a05-987d-f774de1ddf64
watcher-1  | 2026-08-20 22:36:14,269 INFO Ingesting: /media2/BT/BT_20260407_PLEX_PGM_EP1542_CONVO 2-proxy.mp4
watcher-1  | 2026-08-20 22:36:14,324 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:14,325 INFO Ingest queued: 3ad7bba6-9cdf-40bb-b1a8-81b30ae7ba4d
watcher-1  | 2026-08-20 22:36:14,325 INFO Ingesting: /media2/BT/BT_20231114_STUD_PGM_2-proxy.mp4
watcher-1  | 2026-08-20 22:36:14,394 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:14,395 INFO Ingest queued: 5b4c502f-6c22-4c16-a676-65e100c279f6
watcher-1  | 2026-08-20 22:36:14,395 INFO Ingesting: /media2/BT/BT_20231114_STUD_PGM_5-proxy.mp4
watcher-1  | 2026-08-20 22:36:14,455 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:14,456 INFO Ingest queued: f46794e1-7ae7-4a6f-8043-f4a48f2beb33
watcher-1  | 2026-08-20 22:36:14,456 INFO Ingesting: /media2/BT/BT_20260407_PLEX_PGM_EP1545_CONVO 5-proxy.mp4
watcher-1  | 2026-08-20 22:36:14,516 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:14,517 INFO Ingest queued: 332955fa-be07-4b9a-835e-735e56c02d98
watcher-1  | 2026-08-20 22:36:14,518 INFO Ingesting: /media2/BT/BT_20260407_PLEX_PGM_EP1543_CONVO 3-proxy.mp4
watcher-1  | 2026-08-20 22:36:14,576 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:14,576 INFO Ingest queued: ed9c77f1-4472-41c9-89c4-2fa975408e5b
watcher-1  | 2026-08-20 22:36:14,576 INFO Ingesting: /media2/BT/BT_20250624_TUS_STUD_PGM-proxy.mp4
watcher-1  | 2026-08-20 22:36:14,632 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:14,633 INFO Ingest queued: ae8232fb-7521-415b-8166-224cff427254
watcher-1  | 2026-08-20 22:36:14,633 INFO Ingesting: /media2/BT/BT_20260407_PLEX_PGM_EP1541_CONVO 1-proxy.mp4
watcher-1  | 2026-08-20 22:36:14,695 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:14,696 INFO Ingest queued: 12c977df-bd8e-4b86-bfc4-6d8001b7f6f2
watcher-1  | 2026-08-20 22:36:14,696 INFO Ingesting: /media2/BT/BT_20231114_STUD_PGM-CLN-proxy.mp4
watcher-1  | 2026-08-20 22:36:14,759 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:14,760 INFO Ingest queued: 637e7f59-1fc6-41ff-9e9a-efd6515a07a6
watcher-1  | 2026-08-20 22:36:14,760 INFO Ingesting: /media2/BT/BT_20250624_TUS_STUD_PGM_5-proxy.mp4
watcher-1  | 2026-08-20 22:36:14,822 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:14,823 INFO Ingest queued: f743a370-5e69-42fd-b22d-475458e643f5
watcher-1  | 2026-08-20 22:36:14,896 INFO HTTP Request: POST http://api:8000/api/media/curator-import "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:14,896 WARNING Curator manifest retry 1/720 for /curator-inbox/FC-BT26-1560.xml: f14a2f5a-80a0-494a-b3e7-1602a5e9cec8: Curator proxy folder is not available yet: /curator/2026/08/16/FC-BT26-1560-113254
watcher-1  | 2026-08-20 22:36:14,913 INFO HTTP Request: POST http://api:8000/api/media/curator-import "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:14,914 WARNING Curator manifest retry 1/720 for /curator-inbox/HD-PMM-0638-FR-2000-30.xml: 279e763f-2bbe-47f4-9bc1-b6a8bfe36ee2: Curator proxy folder is not available yet: /curator/2026/07/31/HD-PMM-0638-FR-2000-30-210608
watcher-1  | 2026-08-20 22:36:14,928 INFO HTTP Request: POST http://api:8000/api/media/curator-import "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:14,928 WARNING Curator manifest retry 1/720 for /curator-inbox/HD-BTPT24-1396.xml: b71e3c3a-0311-4782-8ce6-9b292f78977e: Curator proxy folder is not available yet: /curator/2026/08/17/HD-BTPT24-1396-130146
watcher-1  | 2026-08-20 22:36:14,936 INFO HTTP Request: POST http://api:8000/api/media/curator-import "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:14,937 WARNING Curator manifest retry 1/720 for /curator-inbox/PRS_20260504_KSHACKELFORD_CAM 7.xml: a0d4d921-708e-4f04-b0f7-7cce5371f14d: Curator proxy folder is not available yet: /curator/2026/05/04/PRS_20260504_KSHACKELFORD_CAM-7-133850
